NCT,PMID,Authors,Year,Trial name,Cancer type,Treatment regimen,Primary endpoint,trial_description,treatment_description,endpoint_description
NCT02231749,31427204,Motzer RJ et al,2019,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,OS+PFS+ORR,CheckMate 214 is a trial whose details are provided in the paper.,The treatment regimen is Nivolumab combined with Ipilimumab.,"The primary endpoints are Overall Survival (OS), Progression-Free Survival (PFS), and Objective Response Rate (ORR)."
NCT02684006,30779531,Motzer RJ et al,2019,JAVELIN Renal 101,Renal cell,Avelumab+Axitinib,OS+PFS,JAVELIN Renal 101 is a trial for renal cell carcinoma.,The treatment regimen involves a combination of Avelumab and Axitinib.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02853331,30779529,Rini BI et al,2019,KEYNOTE-426,Renal cell,Pembrolizumab+Axitinib,OS+PFS,KEYNOTE-426 trial focused on renal cell carcinoma.,The treatment regimen consisted of Pembrolizumab combined with Axitinib.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02420821,31079938,Rini BI et al,2019,IMmotion151,Renal cell,Atezolizumab+Bevacizumab,OS+PFS,IMmotion151 trial in renal cell carcinoma.,Treatment regimen involved Atezolizumab combined with Bevacizumab.,Primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT00527735,22547592,Lynch TJ et al,2012,,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,PFS,Trial name missing.,"Concurrent ipilimumab, paclitaxel, and carboplatin combination therapy was administered.",The primary endpoint was progression-free survival (PFS).
NCT00527735,22547592,Lynch TJ et al,2012,,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,PFS,Trial name not provided.,Treatment regimen involved phased administration of ipilimumab along with paclitaxel and carboplatin.,The primary endpoint was Progression-Free Survival (PFS).
NCT00527735,22547592,Lynch TJ et al (1),2012,,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,PFS,Trial name missing.,"Concurrent ipilimumab, paclitaxel, and carboplatin combination therapy was administered.",The primary endpoint was progression-free survival (PFS).
NCT00527735,22547592,Lynch TJ et al (1),2012,,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,PFS,Trial name not provided.,Treatment regimen involved phased administration of ipilimumab along with paclitaxel and carboplatin.,The primary endpoint was Progression-Free Survival (PFS).
NCT00527735,22858559,Reck M et al,2012,,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,,Trial name not provided.,"Concurrent ipilimumab, paclitaxel, and carboplatin were administered as a treatment regimen.",Primary endpoint not provided.
NCT00527735,22858559,Reck M et al,2012,,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,,No trial name provided.,"Treatment regimen included phased ipilimumab, paclitaxel, and carboplatin.",No primary endpoint provided.
NCT00527735,22858559,Reck M et al (1),2012,,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,,Trial name not provided.,"Concurrent ipilimumab, paclitaxel, and carboplatin were administered as a treatment regimen.",Primary endpoint not provided.
NCT00527735,22858559,Reck M et al (1),2012,,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,,No trial name provided.,"Treatment regimen included phased ipilimumab, paclitaxel, and carboplatin.",No primary endpoint provided.
NCT01673867,26412456,Borghaei  H et al,2015,Checkmate 057,Non-Small Cell Lung,Nivolumab,OS,Checkmate 057 is a clinical trial.,The treatment regimen involves Nivolumab.,The primary endpoint is Overall Survival (OS).
NCT01642004,26028407,Brahmer J et al,2015,Checkmate 017,Non-Small Cell Lung,Nivolumab,OS,Checkmate 017 trial for Non-Small Cell Lung Cancer.,Treatment regimen involved Nivolumab.,Primary endpoint was Overall Survival (OS).
NCT01905657,26712084,Herbst RS et al,2016,Keynote-010,Non-Small Cell Lung,Pembrolizumab,OS+PFS,Keynote-010 trial for Non-Small Cell Lung Cancer.,Patients received Pembrolizumab.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT01905657,26712084,Herbst RS et al,2016,Keynote-010,Non-Small Cell Lung,Pembrolizumab,OS+PFS,Keynote-010 trial in Non-Small Cell Lung Cancer.,Treatment regimen involved Pembrolizumab.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT01905657,26712084,Herbst RS et al (1),2016,Keynote-010,Non-Small Cell Lung,Pembrolizumab,OS+PFS,Keynote-010 trial for Non-Small Cell Lung Cancer.,Patients received Pembrolizumab.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT01905657,26712084,Herbst RS et al (1),2016,Keynote-010,Non-Small Cell Lung,Pembrolizumab,OS+PFS,Keynote-010 trial in Non-Small Cell Lung Cancer.,Treatment regimen involved Pembrolizumab.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT01903993,26970723,Fehrenbacher L et al,2016,POPLAR,Non-Small Cell Lung,Atezolizumab,PFS,POPLAR trial in Non-Small Cell Lung Cancer.,Treatment with Atezolizumab.,The primary endpoint was Progression-Free Survival (PFS).
NCT01450761,27458307,Reck M et al,2016,CA184-156,Small Cell Lung,Ipilimumab+Etoposide+Platinum agent,OS,CA184-156 is a trial investigating treatments for Small Cell Lung cancer.,The treatment regimen involves Ipilimumab in combination with Etoposide and a Platinum agent.,The primary endpoint of the trial is Overall Survival (OS).
NCT02041533,28636851,Carbone DP et al,2017,Checkmate 026,Non-Small Cell Lung,Nivolumab,PFS,Checkmate 026 trial in Non-Small Cell Lung Cancer.,Treatment regimen involved Nivolumab.,The primary endpoint was Progression-Free Survival (PFS).
NCT01285609,28854067,Govindan R et al,2017,,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin,OS,No trial name provided.,Patients received Ipilimumab in combination with Paclitaxel and Carboplatin.,The primary endpoint was Overall Survival (OS).
NCT02125461,28885881,Antonia SJ et al,2017,PACIFIC,Non-Small Cell Lung,Durvalumab,OS+PFS,PACIFIC trial focused on Non-Small Cell Lung cancer.,Patients received Durvalumab as treatment.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02125461,30280658,Antonia SJ et al,2018,PACIFIC,Non-Small Cell Lung,Durvalumab,OS+PFS,PACIFIC trial for Non-Small Cell Lung Cancer.,Treatment regimen involved Durvalumab.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02395172,30262187,Barlesi F et al,2018,JAVELIN Lung 200,Non-Small Cell Lung,Atezolizumab,OS,JAVELIN Lung 200 is a clinical trial.,Patients were treated with Atezolizumab.,The primary endpoint was Overall Survival (OS).
NCT02039674,27745820,Langer JC et al,2016,Keynote-021,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,ORR,Keynote-021 is the trial name.,"Patients were treated with Pembrolizumab, Pemetrexed and Carboplatin.",The primary endpoint was ORR (Objective Response Rate).
NCT02039674,30138764,Borghaei  H et al,2018,Keynote-021,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,ORR,Keynote-021 trial for Non-Small Cell Lung Cancer.,"Treatment regimen consists of Pembrolizumab, Pemetrexed, and Carboplatin.",The primary endpoint is Overall Response Rate (ORR).
NCT02008227,27979383,Rittmeyer A et al,2017,OAK,Non-Small Cell Lung,Atezolizumab,OS,OAK trial in Non-Small Cell Lung Cancer.,Treatment with Atezolizumab.,Overall Survival (OS).
NCT02008227,29777823,Fehrenbacher L et al,2018,OAK,Non-Small Cell Lung,Atezolizumab,OS,The OAK trial studied patients with Non-Small Cell Lung Cancer.,Patients were treated with Atezolizumab.,The primary endpoint was Overall Survival (OS).
NCT02578680,29658856,Gandhi L et al,2018,Keynote-189,Non-Small Cell Lung,Pembrolizumab+Platinum agent,OS+PFS,Keynote-189 trial in non-small cell lung cancer.,Treatment regimen includes pembrolizumab in combination with a platinum-based chemotherapy agent.,Primary endpoints are overall survival (OS) and progression-free survival (PFS).
NCT02763579,30280641,Horn L et al,2018,IMPower 133,Small Cell Lung,Atezolizumab+Etoposide+Carboplatin,OS+PFS,IMPower 133 trial focused on small cell lung cancer.,"Patients received a combination of Atezolizumab, Etoposide, and Carboplatin.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02775435,30280635,Paz-Ares L et al,2018,Keynote-407,Non-Small Cell Lung,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,OS+PFS,Keynote-407 is a trial investigating the efficacy of pembrolizumab in combination with chemotherapy.,Patients received a combination of pembrolizumab with carboplatin and either paclitaxel or nab-paclitaxel.,The primary endpoints were overall survival (OS) and progression-free survival (PFS).
NCT02366143,29863955,Socinski MA et al,2018,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,OS+PFS,IMPower150 was a trial investigating treatments for Non-Small Cell Lung Cancer.,"Patients received a combination of Atezolizumab, Carboplatin, and Paclitaxel.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02366143,29863955,Socinski MA et al,2018,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,OS+PFS,IMPower150 was a trial conducted for Non-Small Cell Lung Cancer.,"The treatment regimen consisted of Atezolizumab, Carboplatin, Paclitaxel, and Bevacizumab.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02366143,29863955,Socinski MA et al (1),2018,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,OS+PFS,IMPower150 was a trial investigating treatments for Non-Small Cell Lung Cancer.,"Patients received a combination of Atezolizumab, Carboplatin, and Paclitaxel.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02366143,29863955,Socinski MA et al (1),2018,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,OS+PFS,IMPower150 was a trial conducted for Non-Small Cell Lung Cancer.,"The treatment regimen consisted of Atezolizumab, Carboplatin, Paclitaxel, and Bevacizumab.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02477826,29658845,Hellmann MD et al,2018,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,OS+PFS,Checkmate 227 trial for Non-Small Cell Lung cancer.,Treatment regimen involved Nivolumab and Ipilimumab.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02477826,29658845,Hellmann MD et al,2018,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,OS+PFS,Checkmate 227 is a clinical trial.,The treatment regimen involves Nivolumab.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02477826,29658845,Hellmann MD et al (1),2018,Checkmate 227,Non-Small Cell Lung,Nivolumab,OS+PFS,Checkmate 227 trial for Non-Small Cell Lung cancer.,Treatment regimen involved Nivolumab and Ipilimumab.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02477826,29658845,Hellmann MD et al (1),2018,Checkmate 227,Non-Small Cell Lung,Nivolumab,OS+PFS,Checkmate 227 is a clinical trial.,The treatment regimen involves Nivolumab.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02477826,31562796,Hellmann MD et al,2019,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,OS,Checkmate 227 is a clinical trial.,Patients were treated with Nivolumab plus Ipilimumab.,The primary endpoint was Overall Survival (OS).
NCT02477826,31562796,Hellmann MD et al,2019,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,OS,Checkmate 227 is a clinical trial investigating treatments for Non-Small Cell Lung Cancer.,The treatment regimen involves the use of Nivolumab.,The primary endpoint of the trial is Overall Survival (OS).
NCT02477826,31562796,Hellmann MD et al,2019,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,OS,Checkmate 227 is a clinical trial evaluating cancer treatment.,Patients received nivolumab in combination with chemotherapy.,The primary endpoint of the trial was overall survival (OS).
NCT02477826,31562796,Hellmann MD et al (1),2019,Checkmate 227,Non-Small Cell Lung,Nivolumab,OS,Checkmate 227 is a clinical trial.,Patients were treated with Nivolumab plus Ipilimumab.,The primary endpoint was Overall Survival (OS).
NCT02477826,31562796,Hellmann MD et al (1),2019,Checkmate 227,Non-Small Cell Lung,Nivolumab,OS,Checkmate 227 is a clinical trial investigating treatments for Non-Small Cell Lung Cancer.,The treatment regimen involves the use of Nivolumab.,The primary endpoint of the trial is Overall Survival (OS).
NCT02477826,31562796,Hellmann MD et al (1),2019,Checkmate 227,Non-Small Cell Lung,Nivolumab,OS,Checkmate 227 is a clinical trial evaluating cancer treatment.,Patients received nivolumab in combination with chemotherapy.,The primary endpoint of the trial was overall survival (OS).
NCT02477826,31562796,Hellmann MD et al (2),2019,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,OS,Checkmate 227 is a clinical trial.,Patients were treated with Nivolumab plus Ipilimumab.,The primary endpoint was Overall Survival (OS).
NCT02477826,31562796,Hellmann MD et al (2),2019,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,OS,Checkmate 227 is a clinical trial investigating treatments for Non-Small Cell Lung Cancer.,The treatment regimen involves the use of Nivolumab.,The primary endpoint of the trial is Overall Survival (OS).
NCT02477826,31562796,Hellmann MD et al (2),2019,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,OS,Checkmate 227 is a clinical trial evaluating cancer treatment.,Patients received nivolumab in combination with chemotherapy.,The primary endpoint of the trial was overall survival (OS).
NCT02220894,30955977,Mok TSK et al,2019,Keynote-042,Non-Small Cell Lung,Pembrolizumab,OS,Keynote-042 is a trial investigating treatments for Non-Small Cell Lung Cancer.,The treatment regimen involves Pembrolizumab.,The primary endpoint is Overall Survival (OS).
NCT03059667,30664989,Pujol JL et al,2019,IFCT-1603,Small Cell Lung,Atezolizumab,ORR,IFCT-1603 trial,Patients received Atezolizumab.,The primary endpoint was Objective Response Rate (ORR).
NCT02142738,30620668,Reck M et al,2019,Keynote-024,Non-Small Cell Lung,Pembrolizumab,PFS,Keynote-024 trial investigated treatments for Non-Small Cell Lung cancer.,The treatment regimen involved Pembrolizumab.,The primary endpoint was Progression-Free Survival (PFS).
NCT02367781,31122901,West H et al,2019,IMpower130,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,OS+PFS,IMpower130 is a trial investigating treatments for Non-Small Cell Lung Cancer.,The treatment regimen consists of Atezolizumab combined with Carboplatin and Nab-paclitaxel.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02613507,30659987,Wu YL et al,2019,Checkmate 078,Non-Small Cell Lung,Nivolumab,OS,Checkmate 078 is a trial investigating a treatment for Non-Small Cell Lung Cancer.,The treatment regimen is Nivolumab.,The primary endpoint is Overall Survival (OS).
NCT02454933,30763730,Yang JCH et al,2019,CAURAL,Non-Small Cell Lung,Durvalumab+Osimertinib,,CAURAL trial in Non-Small Cell Lung Cancer.,Treatment regimen of Durvalumab and Osimertinib.,
NCT00324155,21639810,Robert C et al,2011,,Melanoma,Ipilimumab+Dacarbazine,OS,Not provided,The treatment regimen consists of Ipilimumab in combination with Dacarbazine.,The primary endpoint of the trial is Overall Survival (OS).
NCT00094653,20525992,Hodi FS et al,2010,MDX010-20,Melanoma,Ipilimumab,OS,MDX010-20 was a trial for melanoma.,The treatment regimen involved Ipilimumab.,The primary endpoint was overall survival (OS).
NCT00094653,20525992,Hodi FS et al,2010,MDX010-20,Melanoma,Ipilimumab,OS,MDX010-20 trial focused on melanoma.,Patients received Ipilimumab in combination with the Gp100 Vaccine.,The primary endpoint was Overall Survival (OS).
NCT00094653,20525992,Hodi FS et al (1),2010,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,OS,MDX010-20 was a trial for melanoma.,The treatment regimen involved Ipilimumab.,The primary endpoint was overall survival (OS).
NCT00094653,20525992,Hodi FS et al (1),2010,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,OS,MDX010-20 trial focused on melanoma.,Patients received Ipilimumab in combination with the Gp100 Vaccine.,The primary endpoint was Overall Survival (OS).
NCT00257205,23295794,Ribas A et al,2013,,Melanoma,Tremelimumab,OS,No trial name specified.,Patients were treated with Tremelimumab.,Overall survival (OS) was the primary endpoint.
NCT02362594,29658430,Eggermont AMM et al,2018,EORTC 1325-MG/KEYNOTE-054,Melanoma,Pembrolizumab,PFS,EORTC 1325-MG/KEYNOTE-054 trial focused on melanoma.,Treatment involved Pembrolizumab.,The primary endpoint was Progression-Free Survival (PFS).
NCT01704287,26115796,Ribas A et al,2015,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,OS+PFS,KEYNOTE-002 trial for melanoma.,Treatment involved Pembrolizumab at a dosage of 2 mg/kg.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT01704287,26115796,Ribas A et al,2015,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,OS+PFS,KEYNOTE-002 trial investigated a therapy.,Patients received pembrolizumab at a dose of 10 mg/kg.,The primary endpoint was overall survival (OS) plus progression-free survival (PFS).
NCT01704287,26115796,Ribas A et al (1),2015,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,OS+PFS,KEYNOTE-002 trial for melanoma.,Treatment involved Pembrolizumab at a dosage of 2 mg/kg.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT01704287,26115796,Ribas A et al (1),2015,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,OS+PFS,KEYNOTE-002 trial investigated a therapy.,Patients received pembrolizumab at a dose of 10 mg/kg.,The primary endpoint was overall survival (OS) plus progression-free survival (PFS).
NCT01704287,28961465,Hamid O et al,2017,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,OS+PFS,KEYNOTE-002 is a trial for melanoma.,Patients received pembrolizumab at a dose of 2 mg/kg.,The primary endpoint was overall survival (OS) plus progression-free survival (PFS).
NCT01704287,28961465,Hamid O et al,2017,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,OS+PFS,KEYNOTE-002 trial for melanoma.,Treatment with Pembrolizumab at 10 mg/kg.,Primary endpoint was overall survival (OS) plus progression-free survival (PFS).
NCT01704287,28961465,Hamid O et al (1),2017,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,OS+PFS,KEYNOTE-002 is a trial for melanoma.,Patients received pembrolizumab at a dose of 2 mg/kg.,The primary endpoint was overall survival (OS) plus progression-free survival (PFS).
NCT01704287,28961465,Hamid O et al (1),2017,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,OS+PFS,KEYNOTE-002 trial for melanoma.,Treatment with Pembrolizumab at 10 mg/kg.,Primary endpoint was overall survival (OS) plus progression-free survival (PFS).
NCT00636168,27717298,Eggermont AMM et al,2016,,Melanoma,Ipilimumab,PFS,Trial name is not available.,Patients received ipilimumab as a treatment regimen.,The primary endpoint of the trial was progression-free survival (PFS).
NCT01721746,25795410,Weber JS et al,2015,CheckMate 037,Melanoma,Nivolumab,OS+ORR,CheckMate 037 is a trial evaluating a treatment for Melanoma.,The treatment regimen consists of Nivolumab.,The primary endpoints are Overall Survival (OS) and Objective Response Rate (ORR).
NCT01721746,28671856,Larkin J et al,2018,CheckMate 037,Melanoma,Nivolumab,OS+ORR,CheckMate 037 is a trial investigating treatments for melanoma.,The treatment regimen is nivolumab.,The primary endpoints are overall survival (OS) and objective response rate (ORR).
NCT02130466,31171878,Ascierto PA et al,2019,KEYNOTE-022,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,PFS,KEYNOTE-022 trial for Melanoma.,"Treatment regimen consisted of Pembrolizumab, Dabrafenib, and Trametinib.",The primary endpoint was PFS (progression-free survival).
NCT01721772,25399552,Robert C et al,2015,CheckMate 066,Melanoma,Nivolumab,OS,CheckMate 066 was a trial conducted to evaluate the efficacy of a treatment.,The treatment regimen was Nivolumab.,The primary endpoint was OS (Overall Survival).
NCT01721772,30422243,Ascierto PA et al,2019,CheckMate 066,Melanoma,Nivolumab,OS,CheckMate 066 was a trial conducted by Ascierto PA et al.,The treatment regimen consisted of Nivolumab.,The primary endpoint was Overall Survival (OS).
NCT01843374,28729154,Maio M et al,2017,DETERMINE,Mesothelioma,Tremelimumab,OS,The trial name is DETERMINE.,The treatment regimen involves Tremelimumab.,The primary endpoint is Overall Survival (OS).
NCT02576977,31327687,Mateos MV et al,2019,KEYNOTE-183,Multiple Myeloma,Pembrolizumab+Pomalidomide+Dexamethasone,OS+PFS,KEYNOTE-183 is a trial for Multiple Myeloma.,"Patients are treated with Pembrolizumab, Pomalidomide, and Dexamethasone.",The primary endpoint is Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02579863,31327689,Usmani SZ et al,2019,KEYNOTE-185,Multiple Myeloma,Pembrolizumab+Lenalidomide+Dexamethasone,PFS,KEYNOTE-185 is a trial investigating a treatment for Multiple Myeloma.,"The treatment regimen consists of Pembrolizumab, Lenalidomide, and Dexamethasone.",The primary endpoint is Progression-Free Survival (PFS).
NCT00861614,24831977,Kwon ED et al,2014,CA184-043,Prostate,Ipilimumab,OS,CA184-043 trial focused on prostate cancer.,Patients were treated with Ipilimumab.,The primary endpoint was Overall Survival (OS).
NCT01057810,28034081,Beer TM et al,2017,CA184-095,Prostate,Ipilimumab,OS,The trial is named CA184-095 and studied patients with prostate cancer.,Patients were treated with ipilimumab.,The primary endpoint was overall survival (OS).
NCT02267343,31863227,Chen LT et al,2019,ATTRACTION-2,Gastric/GEJ,Nivolumab,OS,The ATTRACTION-2 trial investigated treatments for Gastric/GEJ cancer.,The treatment regimen involved Nivolumab.,The primary endpoint was Overall Survival (OS).
NCT02702401,31790344,Finn RS et al,2019,KEYNOTE-240,Hepatocellular,Pembrolizumab,OS+PFS,KEYNOTE-240 trial for hepatocellular carcinoma.,Treatment regimen involved Pembrolizumab.,Primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02569242,31582355,Kato K et al,2019,ATTRACTION-3,Esophageal/GEJ,Nivolumab,OS,ATTRACTION-3 trial focused on patients with Esophageal/GEJ cancer.,Patients received Nivolumab as treatment.,The primary endpoint was Overall Survival (OS).
