NCT,Author,Year_x,PMID_x,Control regimen,cytotoxic_drugs,Authors,Year_y,PMID_y
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (2),2019,31562796
NCT02453282,Rizvi NA et al (1),2020,32271377,Investigator's choice chemotherapy,"I am unable to provide information about the specific cytotoxic drugs that might be included in an ""investigator's choice chemotherapy"" regimen. The drugs used in this type of regimen are determined by the investigator or treating physician, based on the patient's specific cancer type, stage, overall health, and other relevant factors.",Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al (1),2020,32271377,Investigator's choice chemotherapy,"I am unable to provide information about the specific cytotoxic drugs that might be included in an ""investigator's choice chemotherapy"" regimen. The drugs used in this type of regimen are determined by the investigator or treating physician, based on the patient's specific cancer type, stage, overall health, and other relevant factors.",Rizvi NA et al (1),2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Investigator's choice chemotherapy,"I am unable to provide information about the specific cytotoxic drugs that might be included in an ""investigator's choice chemotherapy"" regimen. The drugs used in this type of regimen are determined by the investigator or treating physician, based on the patient's specific cancer type, stage, overall health, and other relevant factors.",Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Investigator's choice chemotherapy,"I am unable to provide information about the specific cytotoxic drugs that might be included in an ""investigator's choice chemotherapy"" regimen. The drugs used in this type of regimen are determined by the investigator or treating physician, based on the patient's specific cancer type, stage, overall health, and other relevant factors.",Rizvi NA et al (1),2020,32271377
