NCT,Author,Year_x,PMID_x,Control regimen,cytotoxic_drugs,Authors,Year_y,PMID_y
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (2),2019,31562796
NCT02453282,Rizvi NA et al (1),2020,32271377,Investigator's choice chemotherapy,"Since ""Investigator's choice chemotherapy"" doesn't specify the drugs used, it's impossible to know if it includes any cytotoxic drugs.

Therefore, the answer is: **NONE**",Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al (1),2020,32271377,Investigator's choice chemotherapy,"Since ""Investigator's choice chemotherapy"" doesn't specify the drugs used, it's impossible to know if it includes any cytotoxic drugs.

Therefore, the answer is: **NONE**",Rizvi NA et al (1),2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Investigator's choice chemotherapy,"Since ""Investigator's choice chemotherapy"" doesn't specify the drugs used, it's impossible to know if it includes any cytotoxic drugs.

Therefore, the answer is: **NONE**",Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Investigator's choice chemotherapy,"Since ""Investigator's choice chemotherapy"" doesn't specify the drugs used, it's impossible to know if it includes any cytotoxic drugs.

Therefore, the answer is: **NONE**",Rizvi NA et al (1),2020,32271377
