row_index,question,final_json,audit_json
11,"In which cancers have PD-L1 inhibitors been used in combination therapy?	""","{""selected_filter"": {""ICI Class"": ""PD-L1"", ""Type of Therapy"": ""Combination""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Cancer type"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Type of combination"", ""Column 8"": ""Treatment regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
12,"Are there trials where a CTLA-4 inhibitor was used alone? Which cancer types?	""","{""selected_filter"": {""ICI Class"": ""CTLA-4"", ""Type of Therapy"": ""Monotherapy""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Trial phase"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Treatment regimen"", ""Column 9"": ""Cancer type"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
13,"Where have CTLA-4 inhibitors been combined with other treatments?	""","{""selected_filter"": {""ICI Class"": ""CTLA-4"", ""Type of Therapy"": ""Combination""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Type of combination"", ""Column 7"": ""Cancer type"", ""Column 8"": ""Clinical setting in relation to surgery""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
14,"Which trials in head and neck cancer used PD-1 vs PD-L1 inhibitors?	""","{""selected_filter"": {""Cancer Type"": ""Head and Neck (HNSCC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Class of ICI"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": true, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
15,"Which phase III trials of pembrolizumab in NSCLC are available and what are their NCT numbers?	""","{""selected_filter"": {""ICI Name"": ""Pembrolizumab"", ""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Trial Phase"": ""Phase 3""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
16,"List trials of nivolumab in melanoma, noting which are monotherapy vs combination.	""","{""selected_filter"": {""ICI Name"": ""Nivolumab"", ""Cancer Type"": ""Melanoma""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Monotherapy/combination"", ""Column 7"": ""Type of combination""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
17,"Which trial studied atezolizumab plus chemotherapy in PD-L1 positive triple-negative breast cancer?	""","{""selected_filter"": {""ICI Name"": ""Atezolizumab"", ""Cancer Type"": ""Breast"", ""Type of Therapy"": ""Combination"", ""Type of combination (Treatment Arm)"": ""ICI + Chemo"", ""ICI Class"": ""PD-L1""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Treatment regimen"", ""Column 8"": ""Name of ICI"", ""Column 9"": ""Class of ICI"", ""Column 10"": ""Is PD-L1 positivity inclusion criteria""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
18,"What trials evaluated avelumab in bladder (urothelial) cancer, and what was the clinical setting (e.g., first-line vs maintenance)?	""","{""selected_filter"": {""ICI Name"": ""Avelumab"", ""Cancer Type"": ""Bladder""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
19,"Has tremelimumab been tested in hepatocellular carcinoma (HCC), for example in combination with other ICIs?	""","{""selected_filter"": {""ICI Name"": ""Tremelimumab"", ""ICI Class"": ""CTLA-4"", ""Cancer Type"": ""Hepatocellular carcinoma (HCC)"", ""Type of combination (Treatment Arm)"": ""ICI + ICI""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Cancer type"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Type of combination"", ""Column 9"": ""Treatment regimen"", ""Column 10"": ""Trial phase""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
20,"Was durvalumab studied as maintenance therapy after chemoradiation in Stage III NSCLC (the PACIFIC trial)? Provide details.	""","{""selected_filter"": {""ICI Name"": ""Durvalumab"", ""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Type of Therapy"": ""Monotherapy"", ""Control Arm"": ""Placebo"", ""Clinical Setting"": ""Maintenance"", ""Trial Phase"": ""Phase 3""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Treatment regimen"", ""Column 8"": ""Control regimen"", ""Column 9"": ""Primary endpoint"", ""Column 10"": ""Trial phase""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
21,"Which Phase 3 trials of PD-1 inhibitors in NSCLC used combination therapy, and what were their sample sizes and primary endpoints?	""","{""selected_filter"": {""Trial Phase"": ""Phase 3"", ""ICI Class"": ""PD-1"", ""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Type of Therapy"": ""Combination""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Type of combination"", ""Column 8"": ""Total sample size"", ""Column 9"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
22,"Which trials used PD-L1 inhibitors as monotherapy, and in which cancer types?	""","{""selected_filter"": {""ICI Class"": ""PD-L1"", ""Type of Therapy"": ""Monotherapy""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
23,"Which cancer types have been studied using a dual checkpoint inhibitor combination (PD-1 + CTLA-4)?	""","{""selected_filter"": {""Type of combination (Treatment Arm)"": ""ICI + ICI""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Cancer type"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
24,"List trials where an ICI was combined with chemotherapy in NSCLC and their primary endpoints.	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Type of Therapy"": ""Combination"", ""Type of combination (Treatment Arm)"": ""ICI + Chemo""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
25,"In what cancers have ICIs been combined with tyrosine kinase inhibitors (TKIs)?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Cancer type"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Treatment regimen""}}","{""dropped_non_canonical_filter_keys"": [""Intervention Class""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
26,"Which trials explored combining an ICI with radiotherapy?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI"", ""Column 9"": ""Type of combination"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [{""Type of combination (Treatment Arm)"": ""Radiotherapy""}], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
27,"Are there trials combining ICIs with therapeutic cancer vaccines? If so, list them.	""","{""selected_filter"": {""Type of combination (Treatment Arm)"": ""ICI + Vaccine""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Cancer type"", ""Column 8"": ""Trial phase"", ""Column 9"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
28,"List any trials using the triple combination of an ICI with BRAF and MEK inhibitors in melanoma.	""","{""selected_filter"": {""Cancer Type"": ""Melanoma"", ""Type of combination (Treatment Arm)"": ""ICI + BRAFi + MEKi""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Treatment regimen"", ""Column 7"": ""Name of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
29,"Which trials combined an ICI with an anti-VEGF therapy (e.g., bevacizumab)?	""","{""selected_filter"": {""Type of combination (Treatment Arm)"": ""ICI + Anti-VEGF""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Cancer type"", ""Column 8"": ""Treatment regimen"", ""Column 9"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
30,"Have there been trials using a triplet of ICI + chemotherapy + anti-VEGF? List any and the cancer contexts.	""","{""selected_filter"": {""Type of combination (Treatment Arm)"": ""ICI + Chemo + Anti-VEGF""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Treatment regimen"", ""Column 8"": ""Name of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
31,"Which trials employed a regimen of dual ICIs plus chemotherapy?	""","{""selected_filter"": {""Type of combination (Treatment Arm)"": ""ICI + ICI + Chemo""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Treatment regimen"", ""Column 8"": ""Name of ICI"", ""Column 9"": ""Class of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
32,"Which Phase 3 ICI trials were placebo-controlled?	""","{""selected_filter"": {""Trial Phase"": ""Phase 3"", ""Control Arm"": ""Placebo""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
33,"Which NSCLC trials had standard chemotherapy as the control arm?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Control Arm"": ""Chemo""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Treatment regimen"", ""Column 9"": ""Clinical setting in relation to surgery"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
34,"Which trials in hepatocellular carcinoma used a TKI as the control arm?	""","{""selected_filter"": {""Cancer Type"": ""Hepatocellular carcinoma (HCC)"", ""Control Arm"": ""TKI""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
35,"List any trials where the control arm was interferon (e.g., older trials in melanoma or RCC).	""","{""selected_filter"": {""Control Arm"": ""Interferon""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Trial phase"", ""Column 9"": ""Clinical setting in relation to surgery""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
36,"Which trials used best supportive care (BSC) as the control arm?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type""}}","{""dropped_non_canonical_filter_keys"": [""Control arm""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
37,"Were there any trials comparing ICIs to a combination of chemotherapy plus an EGFR inhibitor (e.g., cetuximab)?	""","{""selected_filter"": {""Control Arm"": ""Chemo / Anti-EGFR""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI"", ""Column 9"": ""Type of combination"", ""Column 10"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
38,"Identify any trials where the control arm was chemotherapy plus an anti-VEGF agent.	""","{""selected_filter"": {""Control Arm"": ""Chemo / Anti-VEGF""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
39,"In any trial was an mTOR inhibitor (e.g., everolimus) used as the control arm (perhaps in RCC)?	""","{""selected_filter"": {""Control Arm"": ""mTOR inhibitor"", ""Cancer Type"": ""Renal Cell Carcinoma (RCC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Control regimen"", ""Column 6"": ""Type of control"", ""Column 7"": ""Cancer type""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
